                          Best                     0,0         1,0         2,0         3,0       0,0.1       1,0.1       2,0.1       3,0.1       0,0.2       1,0.2       2,0.2       3,0.2       0,0.3       1,0.3       2,0.3       3,0.3       0,0.4       1,0.4       2,0.4       3,0.4
0025_0025_C101.txt        [2,0.1: (3, 197)]    (3, 258)    (3, 258)    (3, 256)    (3, 206)    (3, 258)    (3, 258)    (3, 197)    (3, 206)    (3, 258)    (3, 258)    (3, 240)    (3, 206)    (3, 258)    (3, 258)    (3, 206)    (3, 206)    (3, 258)    (3, 241)    (3, 206)    (3, 206)
0025_0050_C101.txt        [1,0.4: (3, 176)]    (4, 354)    (4, 319)    (4, 356)    (4, 266)    (4, 321)    (4, 311)    (4, 344)    (4, 252)    (4, 307)    (4, 286)    (4, 333)    (3, 203)    (3, 240)    (3, 220)    (4, 280)    (3, 179)    (3, 225)    (3, 176)    (4, 286)    (3, 183)
0025_0050_C101_naive.txt  [3,0: (3, 206)]     (3, 258)    (3, 258)    (3, 256)    (3, 206)    (3, 258)    (3, 258)    (3, 227)    (3, 206)    (3, 258)    (3, 258)    (3, 227)    (3, 206)    (3, 258)    (3, 241)    (3, 257)    (3, 206)    (3, 287)    (3, 324)    (3, 257)    (3, 206)
0025_0075_C101_CTW_CC.txt [2,0.3: (4, 300)]    (6, 480)    (5, 440)    (5, 436)    (5, 405)    (4, 350)    (4, 350)    (4, 392)    (4, 346)    (4, 314)    (4, 350)    (4, 356)    (4, 367)    (4, 314)    (4, 314)    (4, 300)    (4, 343)    (4, 314)    (4, 382)    (4, 388)    (4, 332)
0025_0075_C101_CTW_SC.txt [3,0.3: (3, 234)]    (6, 478)    (5, 392)    (6, 440)    (5, 399)    (5, 423)    (5, 398)    (5, 456)    (4, 306)    (4, 335)    (4, 314)    (4, 367)    (4, 333)    (3, 249)    (3, 260)    (4, 325)    (3, 234)    (5, 382)    (4, 320)    (4, 323)    (4, 329)
0025_0075_C101_STW_CC.txt [2,0.4: (6, 516)]    (7, 654)    (7, 660)    (7, 638)    (6, 591)    (7, 648)    (6, 630)    (7, 671)    (6, 603)    (7, 676)    (6, 641)    (7, 729)    (6, 660)    (6, 632)    (6, 666)    (6, 670)    (6, 653)    (6, 596)    (6, 553)    (6, 516)    (6, 516)
0025_0075_C101_STW_SC.txt [1,0.2: (5, 332)]    (5, 563)    (5, 412)    (6, 389)    (6, 405)    (5, 477)    (5, 340)    (5, 354)    (5, 383)    (5, 357)    (5, 332)    (5, 354)    (5, 350)    (5, 361)    (5, 335)    (5, 333)    (5, 342)    (5, 459)    (5, 394)    (5, 373)    (5, 351)
0025_0075_C102_CTW_CC.txt [3,0.1: (4, 314)]    (6, 648)    (5, 431)    (5, 360)    (4, 377)    (4, 417)    (4, 406)    (4, 408)    (4, 314)    (5, 435)    (5, 435)    (5, 428)    (5, 434)    (5, 470)    (5, 477)    (4, 346)    (4, 343)    (4, 377)    (4, 343)    (4, 343)    (4, 343)
0025_0075_C102_CTW_SC.txt [3,0.3: (3, 279)]    (5, 504)    (5, 506)    (5, 422)    (5, 407)    (4, 397)    (4, 358)    (4, 357)    (4, 317)    (4, 336)    (4, 336)    (4, 310)    (4, 310)    (3, 306)    (3, 280)    (3, 280)    (3, 279)    (4, 351)    (4, 349)    (4, 349)    (4, 349)
0025_0075_C102_STW_CC.txt [2,0.3: (5, 518)]    (7, 756)    (7, 718)    (7, 691)    (6, 514)    (7, 781)    (7, 770)    (7, 651)    (6, 494)    (6, 699)    (5, 547)    (5, 537)    (6, 544)    (6, 647)    (6, 639)    (5, 518)    (6, 555)    (6, 706)    (6, 654)    (6, 624)    (6, 587)
0025_0075_C102_STW_SC.txt [3,0.4: (4, 371)]    (5, 499)    (6, 438)    (6, 503)    (5, 337)    (6, 507)    (6, 530)    (5, 417)    (5, 415)    (5, 432)    (5, 436)    (5, 447)    (5, 416)    (5, 486)    (5, 459)    (5, 445)    (5, 445)    (5, 530)    (6, 565)    (5, 483)    (4, 371)
0025_0075_C103_CTW_CC.txt [3,0.1: (3, 289)]    (4, 350)    (4, 377)    (3, 290)    (4, 385)    (4, 409)    (5, 401)    (3, 302)    (3, 289)    (4, 474)    (4, 425)    (4, 376)    (4, 357)    (4, 488)    (3, 395)    (3, 389)    (4, 397)    (4, 509)    (4, 524)    (3, 388)    (3, 388)
0025_0075_C103_CTW_SC.txt [1,0: (3, 300)]     (3, 359)    (3, 300)    (5, 428)    (5, 429)    (3, 335)    (3, 337)    (3, 330)    (4, 392)    (3, 336)    (3, 336)    (3, 323)    (3, 329)    (3, 336)    (3, 336)    (3, 322)    (3, 331)    (3, 327)    (3, 324)    (3, 324)    (4, 395)
0025_0075_C103_STW_CC.txt [3,0: (4, 395)]     (5, 519)    (5, 439)    (5, 453)    (4, 395)    (5, 605)    (5, 488)    (5, 387)    (4, 399)    (5, 463)    (5, 413)    (5, 442)    (5, 471)    (5, 468)    (5, 354)    (4, 554)    (4, 514)    (5, 461)    (5, 498)    (5, 509)    (5, 476)
