                          Best                     0,0         1,0         2,0         3,0       0,0.1       1,0.1       2,0.1       3,0.1       0,0.2       1,0.2       2,0.2       3,0.2       0,0.3       1,0.3       2,0.3       3,0.3       0,0.4       1,0.4       2,0.4       3,0.4
0025_0100_R101_CTW_SC.txt [2,0.2: (9, 748)]   (12, 862)   (12, 890)   (13, 948)   (11, 784)   (12, 883)   (12, 869)   (10, 751)   (10, 735)   (11, 810)   (10, 717)    (9, 748)   (10, 728)   (11, 810)   (12, 846)   (10, 824)   (10, 735)   (11, 834)   (11, 808)   (11, 768)   (11, 784)
0025_0100_R102_CTW_SC.txt [3,0.1: (8, 665)]   (10, 821)   (10, 806)   (10, 839)    (9, 750)    (9, 808)   (10, 844)    (9, 745)    (8, 665)   (11, 786)    (9, 702)    (9, 707)   (10, 750)   (10, 831)    (9, 688)    (9, 738)   (10, 754)    (9, 811)    (9, 688)    (9, 738)    (9, 750)
0025_0100_R103_CTW_SC.txt [3,0: (8, 635)]    (11, 828)    (8, 644)    (8, 673)    (8, 635)   (13, 901)    (9, 800)    (9, 656)    (9, 661)   (11, 905)    (8, 675)    (8, 653)    (8, 653)    (9, 749)    (8, 653)    (8, 653)    (8, 653)    (9, 762)    (9, 724)    (8, 684)    (8, 658)
0025_0100_R104_CTW_SC.txt [3,0.1: (5, 458)]   (11, 816)    (7, 610)    (6, 550)    (7, 605)   (12, 884)    (8, 681)    (7, 588)    (5, 458)    (8, 733)    (6, 594)    (7, 671)    (6, 629)    (8, 692)    (7, 713)    (7, 726)    (6, 609)    (8, 747)    (7, 768)    (7, 732)    (6, 656)
0025_0100_R105_CTW_SC.txt [2,0.1: (7, 579)]  (13, 1057)   (10, 801)    (8, 687)    (8, 734)   (11, 971)    (8, 682)    (7, 579)    (8, 688)    (8, 682)    (8, 688)    (8, 716)    (7, 645)    (9, 739)    (7, 661)    (9, 745)    (9, 779)    (8, 694)    (8, 719)    (9, 839)    (9, 824)
0025_0100_R106_CTW_SC.txt [3,0.1: (6, 578)]  (11, 1018)    (9, 704)    (8, 612)    (7, 651)   (10, 958)    (9, 871)    (7, 618)    (6, 578)    (8, 771)    (7, 661)    (8, 713)    (7, 709)    (8, 729)    (8, 775)    (7, 591)    (7, 595)    (9, 808)    (8, 817)    (7, 624)    (7, 595)
0025_0100_R107_CTW_SC.txt [3,0.4: (6, 519)]   (11, 884)   (10, 811)    (8, 676)    (8, 664)   (10, 844)    (8, 656)    (6, 535)    (6, 563)    (8, 643)    (8, 624)    (6, 571)    (7, 593)    (8, 657)    (7, 595)    (6, 604)    (6, 605)    (7, 684)    (7, 646)    (7, 625)    (6, 519)
0025_0100_R108_CTW_SC.txt [3,0: (5, 505)]     (9, 712)    (8, 716)    (7, 649)    (5, 505)    (9, 747)    (7, 635)    (7, 672)    (6, 531)    (8, 762)    (6, 620)    (6, 595)    (6, 562)    (8, 823)    (7, 678)    (6, 574)    (6, 604)    (6, 677)    (6, 664)    (6, 574)    (6, 574)
0025_0100_R109_CTW_SC.txt [3,0.3: (6, 558)]   (10, 802)    (8, 744)    (8, 641)    (6, 576)   (10, 771)    (7, 672)    (7, 627)    (6, 585)    (7, 637)    (7, 643)    (7, 627)    (6, 614)    (7, 762)    (7, 680)    (6, 586)    (6, 558)    (8, 800)    (7, 670)    (7, 699)    (7, 751)
0025_0100_R110_CTW_SC.txt [3,0.2: (6, 518)]    (8, 776)    (7, 624)    (7, 622)    (7, 615)    (7, 768)    (7, 651)    (6, 540)    (6, 563)    (6, 541)    (6, 600)    (6, 560)    (6, 518)    (7, 688)    (6, 578)    (6, 600)    (6, 571)    (6, 608)    (6, 628)    (6, 546)    (6, 570)
