                          Best                     0,0         1,0         2,0         3,0       0,0.1       1,0.1       2,0.1       3,0.1       0,0.2       1,0.2       2,0.2       3,0.2       0,0.3       1,0.3       2,0.3       3,0.3       0,0.4       1,0.4       2,0.4       3,0.4
0025_0025_C101.txt        [0,0: (3, 197)]     (3, 197)    (3, 197)    (3, 197)    (4, 335)    (3, 197)    (3, 197)    (3, 197)    (4, 335)    (3, 197)    (3, 197)    (4, 335)    (4, 335)    (3, 197)    (3, 197)    (4, 335)    (4, 335)    (3, 197)    (3, 197)    (4, 335)    (4, 335)
0025_0050_C101.txt        [0,0.4: (4, 291)]    (4, 321)    (4, 314)    (4, 314)    (5, 457)    (4, 314)    (4, 314)    (4, 314)    (5, 457)    (4, 296)    (4, 297)    (5, 457)    (5, 457)    (4, 296)    (4, 297)    (5, 457)    (5, 457)    (4, 291)    (4, 297)    (5, 457)    (5, 457)
0025_0050_C101_naive.txt  [0,0: (3, 241)]     (3, 241)    (3, 241)    (3, 280)    (4, 375)    (3, 241)    (3, 241)    (3, 280)    (4, 375)    (3, 241)    (3, 241)    (4, 375)    (4, 375)    (3, 241)    (3, 241)    (4, 375)    (4, 375)    (3, 241)    (3, 241)    (4, 375)    (4, 375)
0025_0075_C101_CTW_CC.txt [0,0.2: (4, 397)]    (4, 411)    (4, 412)    (4, 413)    (4, 413)    (4, 413)    (4, 413)    (4, 413)    (4, 413)    (4, 397)    (4, 397)    (4, 397)    (4, 397)    (4, 397)    (4, 397)    (4, 397)    (4, 397)    (4, 397)    (4, 397)    (4, 397)    (4, 397)
0025_0075_C101_CTW_SC.txt [1,0: (5, 391)]     (5, 434)    (5, 391)    (5, 391)    (5, 391)    (5, 451)    (5, 391)    (5, 391)    (5, 391)    (5, 491)    (5, 493)    (5, 493)    (5, 493)    (5, 491)    (5, 491)    (5, 491)    (5, 491)    (5, 491)    (5, 491)    (5, 491)    (5, 491)
0025_0075_C101_STW_CC.txt [1,0: (6, 616)]     (7, 686)    (6, 616)    (7, 674)    (7, 648)    (6, 639)    (7, 674)    (7, 674)    (7, 648)    (7, 674)    (7, 674)    (7, 641)    (7, 641)    (7, 674)    (7, 674)    (7, 641)    (7, 641)    (7, 676)    (7, 676)    (7, 643)    (7, 643)
0025_0075_C101_STW_SC.txt [0,0: (5, 467)]     (5, 467)    (5, 467)    (5, 467)    (5, 467)    (5, 467)    (5, 467)    (5, 467)    (5, 467)    (5, 467)    (5, 467)    (5, 467)    (5, 467)    (5, 467)    (5, 467)    (5, 467)    (5, 467)    (5, 467)    (5, 467)    (5, 467)    (5, 467)
0025_0075_C102_CTW_CC.txt [3,0: (5, 444)]     (5, 560)    (5, 500)    (5, 461)    (5, 444)    (5, 487)    (5, 487)    (5, 498)    (5, 477)    (5, 487)    (5, 487)    (5, 474)    (5, 474)    (5, 487)    (5, 474)    (5, 474)    (5, 474)    (5, 473)    (5, 473)    (5, 473)    (5, 473)
0025_0075_C102_CTW_SC.txt [2,0: (4, 328)]     (4, 365)    (4, 427)    (4, 328)    (4, 328)    (4, 393)    (4, 351)    (4, 351)    (4, 351)    (4, 352)    (4, 351)    (4, 351)    (4, 351)    (4, 351)    (4, 351)    (4, 351)    (4, 350)    (4, 351)    (4, 351)    (4, 351)    (4, 351)
0025_0075_C102_STW_CC.txt [3,0: (6, 636)]     (7, 634)    (7, 697)    (7, 755)    (6, 636)    (7, 722)    (6, 728)    (7, 736)    (6, 647)    (7, 787)    (7, 792)    (7, 736)    (6, 647)    (7, 759)    (7, 792)    (7, 801)    (7, 718)    (7, 801)    (7, 812)    (7, 814)    (7, 817)
0025_0075_C102_STW_SC.txt [1,0: (5, 458)]     (5, 510)    (5, 458)    (5, 582)    (5, 582)    (5, 503)    (5, 498)    (5, 528)    (5, 528)    (5, 476)    (5, 476)    (6, 594)    (5, 528)    (5, 554)    (5, 554)    (5, 554)    (5, 554)    (5, 554)    (5, 554)    (5, 554)    (5, 554)
0025_0075_C103_CTW_CC.txt [3,0: (4, 420)]     (5, 468)    (5, 458)    (4, 440)    (4, 420)    (5, 458)    (5, 503)    (5, 461)    (4, 449)    (5, 531)    (5, 503)    (5, 503)    (5, 505)    (5, 508)    (5, 503)    (5, 503)    (5, 503)    (5, 508)    (5, 503)    (5, 503)    (5, 503)
0025_0075_C103_CTW_SC.txt [1,0: (3, 313)]     (3, 313)    (3, 313)    (4, 459)    (4, 401)    (4, 386)    (4, 386)    (4, 422)    (4, 362)    (4, 386)    (4, 386)    (4, 386)    (3, 332)    (4, 386)    (4, 386)    (4, 386)    (3, 330)    (4, 386)    (4, 386)    (4, 386)    (3, 330)
0025_0075_C103_STW_CC.txt [2,0: (4, 452)]     (6, 559)    (6, 474)    (4, 452)    (4, 461)    (6, 457)    (5, 635)    (5, 635)    (5, 586)    (6, 522)    (6, 442)    (5, 635)    (5, 586)    (6, 527)    (5, 360)    (5, 586)    (5, 586)    (6, 520)    (6, 520)    (5, 663)    (6, 481)
0025_0075_C103_STW_SC.txt [0,0.1: (3, 352)]    (3, 371)    (4, 473)    (4, 438)    (4, 381)    (3, 352)    (4, 383)    (4, 387)    (4, 387)    (4, 383)    (4, 383)    (4, 383)    (4, 387)    (4, 383)    (4, 383)    (4, 383)    (4, 383)    (4, 383)    (4, 383)    (4, 383)    (4, 383)
0025_0075_C104_CTW_CC.txt [0,0.1: (3, 377)]    (3, 413)    (4, 451)    (3, 462)    (3, 459)    (3, 377)    (3, 484)    (3, 472)    (3, 478)    (3, 480)    (3, 484)    (3, 484)    (3, 484)    (3, 480)    (3, 484)    (3, 484)    (3, 484)    (3, 480)    (3, 484)    (3, 484)    (3, 484)
0025_0075_C104_CTW_SC.txt [0,0.4: (2, 278)]    (4, 389)    (4, 388)    (4, 483)    (4, 483)    (3, 421)    (3, 421)    (3, 315)    (3, 315)    (3, 421)    (3, 421)    (4, 360)    (3, 316)    (3, 421)    (4, 360)    (4, 360)    (4, 360)    (2, 278)    (2, 278)    (2, 278)    (2, 278)
0025_0075_C104_STW_CC.txt [0,0.1: (3, 331)]    (4, 332)    (5, 394)    (4, 474)    (5, 681)    (3, 331)    (4, 490)    (4, 528)    (4, 464)    (5, 623)    (5, 559)    (4, 528)    (4, 528)    (5, 623)    (5, 559)    (5, 649)    (5, 617)    (4, 494)    (3, 410)    (4, 472)    (4, 476)
0025_0075_C104_STW_SC.txt [0,0: (3, 337)]     (3, 337)    (3, 337)    (4, 438)    (4, 414)    (4, 405)    (4, 405)    (4, 405)    (4, 405)    (3, 346)    (3, 346)    (3, 384)    (3, 384)    (3, 355)    (3, 355)    (3, 384)    (3, 384)    (3, 355)    (3, 355)    (3, 384)    (3, 384)
0025_0075_C105_CTW_CC.txt [0,0.2: (4, 348)]    (4, 394)    (4, 394)    (4, 349)    (4, 407)    (4, 349)    (4, 349)    (4, 363)    (4, 363)    (4, 348)    (4, 348)    (4, 363)    (4, 363)    (4, 356)    (4, 348)    (4, 363)    (4, 363)    (4, 358)    (4, 358)    (4, 358)    (4, 363)
