                          Best                     0,0         1,0         2,0         3,0       0,0.1       1,0.1       2,0.1       3,0.1       0,0.2       1,0.2       2,0.2       3,0.2       0,0.3       1,0.3       2,0.3       3,0.3       0,0.4       1,0.4       2,0.4       3,0.4
0025_0025_C101.txt        [0,0: (3, 197)]     (3, 197)    (3, 197)    (3, 197)    (4, 335)    (3, 197)    (3, 197)    (3, 197)    (4, 335)    (3, 197)    (3, 197)    (4, 335)    (4, 335)    (3, 197)    (3, 197)    (4, 335)    (4, 335)    (3, 197)    (3, 197)    (4, 335)    (4, 335)
0025_0050_C101.txt        [0,0.1: (4, 296)]    (4, 310)    (4, 310)    (4, 310)    (4, 310)    (4, 296)    (4, 296)    (4, 296)    (4, 296)    (4, 296)    (4, 296)    (4, 296)    (4, 296)    (4, 296)    (4, 296)    (4, 296)    (4, 296)    (4, 296)    (4, 296)    (4, 296)    (4, 296)
0025_0050_C101_naive.txt  [0,0: (3, 295)]     (3, 295)    (3, 296)    (3, 296)    (4, 467)    (3, 295)    (3, 295)    (3, 296)    (4, 467)    (3, 295)    (3, 295)    (3, 296)    (4, 467)    (3, 295)    (3, 295)    (4, 467)    (4, 467)    (3, 295)    (3, 295)    (4, 467)    (4, 467)
0025_0075_C101_CTW_CC.txt [2,0: (5, 428)]     (5, 487)    (5, 487)    (5, 428)    (5, 428)    (5, 428)    (5, 428)    (5, 428)    (5, 428)    (5, 428)    (5, 428)    (5, 428)    (5, 428)    (5, 428)    (5, 428)    (5, 428)    (5, 428)    (5, 428)    (5, 428)    (5, 428)    (5, 428)
0025_0075_C101_CTW_SC.txt [1,0: (5, 391)]     (5, 434)    (5, 391)    (5, 391)    (5, 391)    (5, 444)    (5, 444)    (5, 391)    (5, 391)    (5, 437)    (5, 444)    (5, 391)    (5, 391)    (5, 444)    (5, 444)    (5, 444)    (5, 392)    (5, 444)    (5, 444)    (5, 444)    (5, 444)
0025_0075_C101_STW_CC.txt [0,0.1: (7, 679)]    (7, 681)    (7, 681)    (7, 681)    (7, 681)    (7, 679)    (7, 688)    (7, 688)    (7, 688)    (7, 679)    (7, 679)    (7, 679)    (8, 726)    (7, 679)    (7, 679)    (7, 699)    (7, 699)    (7, 679)    (7, 699)    (7, 699)    (7, 699)
0025_0075_C101_STW_SC.txt [0,0: (5, 411)]     (5, 411)    (5, 411)    (5, 411)    (5, 411)    (5, 446)    (5, 446)    (5, 446)    (5, 446)    (5, 475)    (5, 446)    (5, 446)    (5, 446)    (5, 475)    (5, 475)    (5, 475)    (5, 475)    (5, 475)    (5, 475)    (5, 475)    (5, 475)
0025_0075_C102_CTW_CC.txt [3,0: (5, 468)]     (5, 488)    (5, 540)    (6, 524)    (5, 468)    (5, 514)    (5, 492)    (5, 492)    (5, 492)    (5, 492)    (5, 505)    (5, 505)    (5, 505)    (5, 502)    (5, 502)    (5, 502)    (5, 494)    (5, 502)    (5, 502)    (5, 502)    (5, 502)
0025_0075_C102_CTW_SC.txt [2,0: (4, 345)]     (4, 429)    (4, 429)    (4, 345)    (4, 345)    (4, 393)    (4, 392)    (4, 392)    (4, 392)    (4, 392)    (4, 392)    (4, 392)    (4, 392)    (4, 392)    (4, 392)    (4, 392)    (4, 371)    (4, 371)    (4, 371)    (4, 371)    (4, 371)
0025_0075_C102_STW_CC.txt [0,0: (6, 549)]     (6, 549)    (6, 551)    (6, 687)    (6, 683)    (7, 704)    (7, 710)    (7, 710)    (6, 662)    (6, 676)    (6, 676)    (6, 676)    (6, 676)    (6, 676)    (6, 676)    (6, 676)    (6, 676)    (6, 676)    (6, 676)    (6, 676)    (6, 676)
0025_0075_C102_STW_SC.txt [1,0.1: (5, 529)]    (6, 582)    (6, 530)    (5, 554)    (5, 554)    (5, 531)    (5, 529)    (5, 529)    (5, 529)    (5, 531)    (5, 531)    (5, 531)    (5, 529)    (5, 533)    (5, 533)    (5, 533)    (5, 533)    (5, 533)    (5, 533)    (5, 533)    (5, 533)
0025_0075_C103_CTW_CC.txt [2,0: (4, 382)]     (5, 424)    (5, 464)    (4, 382)    (4, 418)    (5, 517)    (5, 517)    (5, 512)    (5, 512)    (5, 564)    (5, 564)    (5, 517)    (5, 517)    (5, 564)    (5, 564)    (5, 564)    (5, 517)    (5, 564)    (5, 564)    (5, 564)    (5, 564)
0025_0075_C103_CTW_SC.txt [3,0: (3, 328)]     (4, 320)    (4, 319)    (4, 457)    (3, 328)    (3, 352)    (4, 345)    (4, 345)    (4, 347)    (4, 418)    (4, 418)    (4, 418)    (4, 418)    (4, 418)    (4, 418)    (4, 418)    (4, 418)    (4, 418)    (4, 418)    (4, 418)    (4, 418)
0025_0075_C103_STW_CC.txt [1,0: (4, 377)]     (5, 560)    (4, 377)    (4, 396)    (4, 420)    (4, 421)    (4, 407)    (4, 459)    (4, 459)    (4, 428)    (4, 468)    (4, 468)    (4, 493)    (4, 457)    (4, 457)    (4, 457)    (4, 469)    (4, 457)    (4, 457)    (4, 469)    (4, 469)
