                          Best                     0,0         1,0         2,0         3,0       0,0.1       1,0.1       2,0.1       3,0.1       0,0.2       1,0.2       2,0.2       3,0.2       0,0.3       1,0.3       2,0.3       3,0.3       0,0.4       1,0.4       2,0.4       3,0.4
0025_0025_C101.txt        [2,0.1: (3, 197)]    (3, 258)    (3, 258)    (3, 256)    (3, 206)    (3, 258)    (3, 258)    (3, 197)    (3, 206)    (3, 258)    (3, 258)    (3, 240)    (3, 206)    (3, 258)    (3, 258)    (3, 206)    (3, 206)    (3, 258)    (3, 241)    (3, 206)    (3, 206)
0025_0050_C101.txt        [2,0.2: (4, 259)]    (4, 354)    (4, 319)    (4, 356)    (4, 266)    (4, 304)    (4, 311)    (4, 266)    (4, 302)    (4, 299)    (4, 261)    (4, 259)    (4, 270)    (4, 292)    (4, 292)    (4, 334)    (4, 334)    (4, 331)    (4, 331)    (4, 335)    (4, 335)
0025_0050_C101_naive.txt  [3,0: (3, 206)]     (3, 258)    (3, 258)    (3, 256)    (3, 206)    (3, 258)    (3, 258)    (3, 227)    (3, 206)    (3, 258)    (3, 258)    (3, 227)    (3, 206)    (3, 258)    (3, 258)    (3, 235)    (3, 206)    (3, 258)    (4, 267)    (3, 206)    (3, 206)
0025_0075_C101_CTW_CC.txt [1,0.1: (5, 358)]    (6, 480)    (5, 440)    (5, 436)    (5, 405)    (5, 481)    (5, 358)    (5, 403)    (5, 403)    (5, 392)    (5, 392)    (5, 383)    (5, 383)    (5, 471)    (5, 471)    (5, 477)    (5, 477)    (5, 477)    (5, 477)    (5, 477)    (5, 477)
0025_0075_C101_CTW_SC.txt [1,0: (5, 392)]     (6, 478)    (5, 392)    (6, 440)    (5, 399)    (6, 469)    (6, 502)    (6, 488)    (7, 451)    (6, 477)    (6, 477)    (6, 477)    (6, 476)    (6, 414)    (6, 414)    (5, 507)    (6, 485)    (5, 405)    (5, 473)    (5, 473)    (5, 473)
0025_0075_C101_STW_CC.txt [3,0: (6, 591)]     (7, 654)    (7, 660)    (7, 638)    (6, 591)    (6, 623)    (6, 622)    (6, 608)    (7, 586)    (8, 757)    (8, 757)    (8, 665)    (8, 642)    (7, 677)    (7, 689)    (7, 682)    (7, 682)    (7, 606)    (7, 670)    (8, 681)    (7, 677)
0025_0075_C101_STW_SC.txt [0,0.1: (4, 446)]    (5, 563)    (5, 412)    (6, 389)    (6, 405)    (4, 446)    (4, 446)    (4, 446)    (5, 377)    (5, 441)    (4, 455)    (4, 455)    (5, 442)    (5, 467)    (5, 467)    (5, 467)    (5, 467)    (5, 503)    (5, 503)    (5, 503)    (5, 503)
0025_0075_C102_CTW_CC.txt [3,0: (4, 377)]     (6, 648)    (5, 431)    (5, 360)    (4, 377)    (5, 444)    (5, 458)    (5, 452)    (5, 479)    (5, 486)    (5, 499)    (5, 499)    (5, 491)    (5, 510)    (5, 510)    (5, 491)    (5, 491)    (5, 494)    (5, 494)    (5, 494)    (5, 494)
0025_0075_C102_CTW_SC.txt [0,0.1: (4, 350)]    (5, 504)    (5, 506)    (5, 422)    (5, 407)    (4, 350)    (4, 350)    (4, 350)    (4, 350)    (4, 406)    (4, 406)    (4, 355)    (4, 355)    (4, 406)    (4, 409)    (4, 409)    (4, 360)    (4, 363)    (4, 363)    (4, 363)    (4, 363)
0025_0075_C102_STW_CC.txt [2,0.2: (5, 533)]    (7, 756)    (7, 718)    (7, 691)    (6, 514)    (8, 831)    (7, 713)    (7, 645)    (6, 536)    (6, 631)    (6, 669)    (5, 533)    (5, 533)    (6, 641)    (6, 675)    (6, 651)    (6, 610)    (6, 624)    (6, 624)    (6, 624)    (6, 628)
0025_0075_C102_STW_SC.txt [3,0: (5, 337)]     (5, 499)    (6, 438)    (6, 503)    (5, 337)    (6, 505)    (6, 505)    (5, 421)    (5, 421)    (5, 456)    (5, 456)    (5, 456)    (5, 455)    (5, 458)    (5, 458)    (5, 458)    (5, 458)    (5, 458)    (5, 458)    (5, 458)    (5, 458)
0025_0075_C103_CTW_CC.txt [2,0: (3, 290)]     (4, 350)    (4, 377)    (3, 290)    (4, 385)    (4, 428)    (3, 411)    (4, 537)    (4, 394)    (5, 476)    (5, 476)    (5, 476)    (5, 480)    (5, 533)    (5, 533)    (5, 578)    (5, 531)    (5, 564)    (5, 564)    (5, 564)    (5, 564)
0025_0075_C103_CTW_SC.txt [1,0: (3, 300)]     (3, 359)    (3, 300)    (5, 428)    (5, 429)    (3, 359)    (4, 390)    (3, 323)    (3, 323)    (3, 347)    (3, 351)    (3, 351)    (4, 355)    (4, 469)    (4, 469)    (4, 469)    (4, 469)    (4, 424)    (4, 424)    (4, 424)    (4, 424)
0025_0075_C103_STW_CC.txt [1,0.1: (4, 346)]    (5, 519)    (5, 439)    (5, 453)    (4, 395)    (4, 487)    (4, 346)    (4, 372)    (4, 373)    (5, 599)    (4, 468)    (5, 506)    (5, 473)    (4, 536)    (4, 511)    (4, 408)    (5, 457)    (5, 639)    (4, 567)    (4, 567)    (4, 477)
0025_0075_C103_STW_SC.txt [3,0: (3, 266)]     (3, 430)    (3, 316)    (3, 290)    (3, 266)    (3, 367)    (4, 357)    (4, 335)    (4, 366)    (3, 350)    (3, 350)    (3, 350)    (3, 350)    (4, 406)    (4, 400)    (4, 382)    (4, 382)    (4, 404)    (4, 404)    (4, 404)    (4, 404)
