                 Best                    0110        1110        2110        0120        1120        2120        0121        1121        2121        0111        1111        2111
0050_RC203.txt   [0110: (3, 1129)]   (3, 1129)   (3, 1129)   (3, 1129)   (3, 1129)   (3, 1129)   (3, 1129)   (5, 3289)   (5, 3523)   (5, 3470)   (5, 3615)   (5, 3615)   (5, 3435)
0050_R202.txt    [0120: (3, 1267)]   (3, 1270)   (3, 1334)   (3, 1270)   (3, 1267)   (3, 1339)   (3, 1267)   (4, 2087)   (4, 2066)   (3, 2008)   (4, 2101)   (4, 2101)   (4, 2147)
0025_C103.txt    [0110: (3, 313)]    (3, 313)    (4, 325)    (3, 313)    (3, 401)    (3, 405)    (3, 401)    (3, 580)    (3, 575)    (3, 568)    (3, 645)    (3, 645)    (3, 642)
0025_C102.txt    [1110: (3, 254)]    (3, 311)    (3, 254)    (3, 311)    (3, 339)    (3, 410)    (3, 339)    (4, 546)    (4, 580)    (4, 546)    (4, 609)    (4, 609)    (4, 622)
0050_R203.txt    [0110: (3, 1040)]   (3, 1040)   (3, 1123)   (3, 1040)   (3, 1334)   (3, 1363)   (3, 1334)   (4, 2227)   (3, 2247)   (3, 2253)   (4, 2347)   (4, 2347)   (3, 2346)
0025_RC108.txt   [1110: (3, 353)]    (3, 391)    (3, 353)    (3, 391)    (3, 404)    (3, 354)    (3, 404)   (7, 1306)   (7, 1171)   (8, 1349)   (7, 1236)   (7, 1236)   (7, 1163)
0050_RC202.txt   [1110: (3, 1112)]   (3, 1114)   (3, 1112)   (3, 1114)   (3, 1299)   (3, 1293)   (3, 1299)   (4, 2984)   (5, 3198)   (5, 3045)   (5, 3339)   (5, 3339)   (5, 3385)
0050_R201.txt    [0110: (3, 1313)]   (3, 1313)   (3, 1474)   (3, 1313)   (3, 1498)   (3, 1450)   (3, 1498)   (4, 2058)   (4, 2033)   (3, 1958)   (5, 2180)   (5, 2180)   (5, 2305)
0025_C101.txt    [0110: (3, 271)]    (3, 271)    (3, 271)    (3, 271)    (3, 271)    (3, 271)    (3, 271)    (3, 395)    (3, 457)    (3, 395)    (5, 662)    (5, 662)    (4, 618)
0050_RC201.txt   [1120: (3, 1249)]   (3, 1375)   (3, 1267)   (3, 1375)   (3, 1388)   (3, 1249)   (3, 1388)   (5, 2817)   (5, 2888)   (5, 2840)   (6, 3068)   (6, 3068)   (6, 3134)
0050_RC205.txt   [1120: (3, 1336)]   (3, 1427)   (3, 1431)   (3, 1427)   (3, 1493)   (3, 1336)   (3, 1493)   (6, 3369)   (7, 3254)   (6, 3074)   (6, 3228)   (6, 3228)   (6, 3423)
0050_R210.txt    [0110: (3, 1092)]   (3, 1092)   (3, 1114)   (3, 1092)   (3, 1145)   (3, 1125)   (3, 1145)   (4, 2267)   (4, 2204)   (3, 2158)   (4, 2312)   (4, 2312)   (4, 2373)
0050_R204.txt    [1110: (3, 903)]    (3, 912)    (3, 903)    (3, 912)    (3, 927)    (3, 920)    (3, 927)   (3, 2388)   (4, 2468)   (4, 2425)   (4, 2517)   (4, 2517)   (4, 2443)
0025_R108.txt    [0120: (4, 606)]    (5, 608)    (5, 536)    (5, 608)    (4, 606)    (5, 593)    (4, 606)   (7, 1132)   (6, 1101)   (7, 1083)   (6, 1091)   (6, 1091)   (7, 1158)
0025_C105.txt    [0110: (3, 271)]    (3, 271)    (4, 336)    (3, 271)    (3, 308)    (4, 373)    (3, 308)    (3, 461)    (3, 523)    (3, 461)    (3, 472)    (3, 472)    (4, 635)
0025_C104.txt    [1110: (3, 333)]    (3, 347)    (3, 333)    (3, 347)    (3, 359)    (3, 370)    (3, 359)    (3, 584)    (3, 543)    (3, 621)    (3, 672)    (3, 672)    (3, 672)
0025_R109.txt    [2120: (5, 610)]    (5, 663)    (5, 711)    (5, 660)    (5, 622)    (6, 691)    (5, 610)   (8, 1131)   (7, 1032)   (8, 1091)   (7, 1026)   (7, 1026)   (8, 1058)
0050_R205.txt    [1120: (2, 1171)]   (2, 1213)   (2, 1198)   (2, 1213)   (2, 1277)   (2, 1171)   (2, 1277)   (4, 2227)   (4, 2282)   (4, 2122)   (4, 2404)   (4, 2404)   (4, 2311)
0050_R211.txt    [0110: (2, 967)]    (2, 967)    (2, 968)    (2, 967)    (2, 980)    (2, 970)    (2, 980)   (4, 2459)   (4, 2413)   (3, 2331)   (4, 2467)   (4, 2467)   (4, 2446)
0050_C208.txt    [1110: (2, 550)]    (2, 620)    (2, 550)    (2, 620)    (2, 739)    (2, 739)    (2, 739)   (3, 1800)   (3, 1628)   (3, 1800)   (3, 1986)   (3, 1986)   (3, 1986)
0050_RC204.txt   [1110: (2, 933)]    (2, 941)    (2, 933)    (2, 941)    (2, 942)    (2, 933)    (2, 942)   (5, 3479)   (5, 3642)   (5, 3654)   (5, 3631)   (5, 3631)   (5, 3638)
0050_RC206.txt   [0120: (2, 953)]    (2, 991)    (2, 991)    (2, 991)    (2, 953)   (2, 1135)    (2, 953)   (6, 3400)   (5, 3414)   (6, 3333)   (6, 3524)   (6, 3524)   (5, 3404)
0050_R207.txt    [0110: (2, 995)]    (2, 995)   (3, 1111)    (2, 995)   (2, 1011)   (2, 1082)   (2, 1011)   (3, 2298)   (3, 2231)   (3, 2322)   (4, 2473)   (4, 2473)   (3, 2444)
0025_C106.txt    [0110: (3, 271)]    (3, 271)    (3, 271)    (3, 271)    (3, 314)    (3, 314)    (3, 314)    (4, 508)    (3, 405)    (3, 360)    (5, 638)    (5, 638)    (4, 572)
0025_C107.txt    [0110: (3, 281)]    (3, 281)    (4, 333)    (3, 281)    (3, 329)    (4, 364)    (3, 329)    (3, 542)    (3, 542)    (3, 542)    (3, 584)    (3, 584)    (4, 631)
0050_R206.txt    [0110: (3, 1041)]   (3, 1041)   (3, 1270)   (3, 1041)   (3, 1168)   (3, 1213)   (3, 1168)   (4, 2223)   (4, 2189)   (4, 2248)   (4, 2320)   (4, 2320)   (4, 2372)
0050_RC207.txt   [0120: (3, 1126)]   (3, 1128)   (3, 1292)   (3, 1128)   (3, 1126)   (3, 1292)   (3, 1126)   (4, 2924)   (5, 3436)   (5, 3258)   (6, 3643)   (6, 3643)   (5, 3577)
0025_C202.txt    [0110: (1, 323)]    (1, 323)    (1, 323)    (1, 323)    (1, 323)    (1, 323)    (1, 323)    (2, 537)    (2, 537)    (2, 537)    (2, 624)    (2, 624)    (2, 624)
0050_RC102.txt   [0110: (9, 1080)]   (9, 1080)   (9, 1141)   (9, 1080)   (9, 1234)   (9, 1363)   (9, 1221)  (15, 2488)  (15, 2471)  (16, 2683)  (15, 2469)  (15, 2469)  (17, 2779)
0025_RC208.txt   [0110: (1, 417)]    (1, 417)    (1, 417)    (1, 417)    (1, 424)    (1, 424)    (1, 424)   (2, 1286)   (2, 1284)   (2, 1285)   (2, 1383)   (2, 1383)   (3, 1415)
0050_R103.txt    [2110: (10, 1173)]  (10, 1175)  (11, 1307)  (10, 1173)  (11, 1203)  (11, 1337)  (11, 1203)  (14, 2087)  (14, 1937)  (16, 2189)  (16, 2273)  (16, 2273)  (15, 2195)
0050_R102.txt    [1110: (12, 1328)]  (13, 1438)  (12, 1328)  (13, 1469)  (12, 1378)  (12, 1354)  (12, 1408)  (16, 1985)  (15, 1880)  (17, 2107)  (18, 2098)  (18, 2098)  (18, 2223)
0050_RC103.txt   [1110: (7, 938)]   (9, 1002)    (7, 938)   (9, 1002)   (9, 1002)   (8, 1176)   (9, 1002)  (15, 2818)  (14, 2433)  (16, 2800)  (15, 2770)  (15, 2770)  (15, 2646)
0025_C203.txt    [0110: (2, 307)]    (2, 307)    (2, 307)    (2, 307)    (2, 315)    (2, 315)    (2, 315)    (2, 686)    (2, 686)    (2, 686)    (2, 789)    (2, 789)    (2, 789)
0025_C201.txt    [0110: (2, 329)]    (2, 329)    (2, 329)    (2, 329)    (2, 329)    (2, 329)    (2, 329)    (2, 346)    (2, 346)    (2, 346)    (2, 358)    (2, 358)    (2, 358)
0050_RC101.txt   [0110: (9, 1190)]   (9, 1190)  (10, 1363)   (9, 1190)  (10, 1279)  (10, 1461)  (10, 1313)  (17, 2517)  (19, 2864)  (19, 2680)  (19, 2805)  (19, 2805)  (18, 2670)
