                 Best                    0110        1110        2110        0120        1120        2120        0121        1121        2121        0111        1111        2111
0025_C101.txt    [1110: (3, 212)]    (3, 258)    (3, 212)    (3, 258)    (3, 212)    (3, 212)    (3, 242)    (3, 264)    (3, 212)    (3, 256)    (3, 259)    (3, 212)    (3, 259)
0025_C102.txt    [1121: (3, 216)]    (3, 267)    (3, 282)    (3, 267)    (3, 243)    (3, 288)    (3, 271)    (3, 353)    (3, 216)    (3, 280)    (3, 328)    (3, 244)    (3, 328)
0025_C103.txt    [0120: (3, 249)]    (3, 254)    (3, 294)    (3, 257)    (3, 249)    (3, 296)    (4, 290)    (3, 291)    (3, 267)    (3, 352)    (3, 356)    (3, 252)    (3, 356)
0025_C104.txt    [0120: (3, 219)]    (3, 276)    (3, 282)    (3, 277)    (3, 219)    (3, 296)    (3, 307)    (3, 298)    (3, 281)    (3, 375)    (3, 350)    (3, 264)    (3, 350)
0025_C105.txt    [1121: (3, 227)]    (3, 258)    (4, 294)    (3, 258)    (3, 231)    (4, 294)    (3, 263)    (4, 302)    (3, 227)    (3, 266)    (3, 267)    (3, 227)    (3, 267)
0025_C106.txt    [1121: (3, 195)]    (3, 258)    (3, 261)    (3, 258)    (4, 281)    (4, 270)    (3, 278)    (4, 306)    (3, 195)    (3, 256)    (3, 259)    (3, 195)    (3, 259)
0025_C107.txt    [1121: (3, 209)]    (3, 268)    (3, 227)    (3, 268)    (3, 218)    (3, 227)    (3, 267)    (4, 300)    (3, 209)    (3, 273)    (3, 267)    (3, 209)    (3, 267)
0025_C108.txt    [1121: (3, 212)]    (3, 257)    (4, 328)    (3, 257)    (3, 220)    (3, 334)    (3, 299)    (4, 299)    (3, 212)    (3, 318)    (3, 273)    (3, 212)    (3, 273)
0025_C109.txt    [1111: (3, 214)]    (3, 339)    (3, 232)    (3, 339)    (3, 239)    (3, 232)    (3, 268)    (4, 265)    (3, 220)    (3, 409)    (3, 282)    (3, 214)    (3, 282)
0025_C201.txt    [0110: (2, 329)]    (2, 329)    (2, 340)    (2, 329)    (2, 329)    (2, 340)    (2, 329)    (2, 356)    (2, 329)    (2, 329)    (2, 332)    (2, 329)    (2, 332)
0025_C202.txt    [1111: (1, 268)]    (1, 323)    (2, 407)    (1, 323)    (1, 396)    (2, 407)    (1, 380)    (2, 292)    (2, 290)    (2, 279)    (1, 272)    (1, 268)    (1, 272)
0025_C203.txt    [0121: (1, 261)]    (2, 307)    (2, 353)    (2, 307)    (2, 335)    (2, 335)    (2, 315)    (1, 261)    (2, 394)    (1, 279)    (1, 272)    (1, 299)    (1, 272)
0025_C204.txt    [0111: (1, 246)]    (2, 317)    (2, 306)    (2, 317)    (2, 313)    (2, 313)    (2, 297)    (1, 253)    (2, 332)    (2, 319)    (1, 246)    (2, 289)    (1, 246)
0025_C205.txt    [0120: (1, 299)]    (1, 322)    (1, 322)    (1, 322)    (1, 299)    (1, 322)    (1, 322)    (1, 307)    (1, 333)    (1, 328)    (1, 343)    (1, 328)    (1, 343)
0025_C206.txt    [0120: (1, 304)]    (2, 318)    (2, 331)    (2, 318)    (1, 304)    (2, 331)    (2, 318)    (1, 305)    (2, 315)    (2, 322)    (2, 333)    (2, 310)    (2, 333)
0025_C207.txt    [0111: (1, 316)]    (1, 329)    (1, 331)    (1, 329)    (1, 329)    (1, 331)    (1, 329)    (1, 352)    (2, 336)    (2, 325)    (1, 316)    (2, 331)    (1, 316)
0025_C208.txt    [0120: (1, 237)]    (1, 285)    (2, 350)    (1, 285)    (1, 237)    (2, 350)    (1, 285)    (1, 242)    (1, 286)    (1, 277)    (1, 291)    (1, 281)    (1, 291)
0025_R101.txt    [2111: (8, 635)]    (8, 718)   (10, 793)    (8, 695)    (9, 832)   (10, 863)    (9, 788)    (8, 696)    (8, 702)    (8, 670)    (8, 740)    (8, 702)    (8, 635)
