                 Best                    0110        1110        2110        0120        1120        2120        0121        1121        2121        0111        1111        2111
0025_C101.txt    [2120: (3, 271)]    (3, 271)    (3, 271)    (3, 271)    (3, 271)    (3, 271)    (3, 271)    (3, 395)    (3, 457)    (3, 395)    (5, 662)    (5, 662)    (4, 618)
0025_C102.txt    [1110: (3, 254)]    (3, 311)    (3, 254)    (3, 311)    (3, 339)    (3, 410)    (3, 339)    (4, 546)    (4, 580)    (4, 546)    (4, 609)    (4, 609)    (4, 622)
0025_C103.txt    [2110: (3, 313)]    (3, 313)    (4, 325)    (3, 313)    (3, 401)    (3, 405)    (3, 401)    (3, 580)    (3, 575)    (3, 568)    (3, 645)    (3, 645)    (3, 642)
0025_C104.txt    [1110: (3, 333)]    (3, 347)    (3, 333)    (3, 347)    (3, 359)    (3, 370)    (3, 359)    (3, 584)    (3, 543)    (3, 621)    (3, 672)    (3, 672)    (3, 672)
0025_C105.txt    [2110: (3, 271)]    (3, 271)    (4, 336)    (3, 271)    (3, 308)    (4, 373)    (3, 308)    (3, 461)    (3, 523)    (3, 461)    (3, 472)    (3, 472)    (4, 635)
0025_C106.txt    [2110: (3, 271)]    (3, 271)    (3, 271)    (3, 271)    (3, 314)    (3, 314)    (3, 314)    (4, 508)    (3, 405)    (3, 360)    (5, 638)    (5, 638)    (4, 572)
0025_C107.txt    [2110: (3, 281)]    (3, 281)    (4, 333)    (3, 281)    (3, 329)    (4, 364)    (3, 329)    (3, 542)    (3, 542)    (3, 542)    (3, 584)    (3, 584)    (4, 631)
0025_C108.txt    [1110: (3, 271)]    (3, 288)    (3, 271)    (3, 288)    (3, 325)    (3, 289)    (3, 325)    (3, 483)    (3, 449)    (3, 487)    (4, 692)    (4, 692)    (4, 657)
0025_C109.txt    [2110: (3, 307)]    (3, 307)    (3, 314)    (3, 307)    (3, 309)    (3, 315)    (3, 309)    (3, 551)    (3, 566)    (3, 551)    (3, 586)    (3, 586)    (3, 624)
0025_C201.txt    [2120: (2, 329)]    (2, 329)    (2, 329)    (2, 329)    (2, 329)    (2, 329)    (2, 329)    (2, 346)    (2, 346)    (2, 346)    (2, 358)    (2, 358)    (2, 358)
0025_C202.txt    [2120: (1, 323)]    (1, 323)    (1, 323)    (1, 323)    (1, 323)    (1, 323)    (1, 323)    (2, 537)    (2, 537)    (2, 537)    (2, 624)    (2, 624)    (2, 624)
0025_C203.txt    [2110: (2, 307)]    (2, 307)    (2, 307)    (2, 307)    (2, 315)    (2, 315)    (2, 315)    (2, 686)    (2, 686)    (2, 686)    (2, 789)    (2, 789)    (2, 789)
0025_C204.txt    [2121: (1, 750)]    (2, 317)    (2, 317)    (2, 317)    (2, 315)    (2, 315)    (2, 315)    (1, 750)    (1, 750)    (1, 750)    (1, 750)    (1, 750)    (1, 750)
0025_C205.txt    [2120: (1, 322)]    (1, 322)    (1, 322)    (1, 322)    (1, 322)    (1, 322)    (1, 322)    (2, 455)    (2, 455)    (2, 455)    (2, 477)    (2, 477)    (2, 477)
0025_C206.txt    [2120: (2, 318)]    (2, 318)    (2, 318)    (2, 318)    (2, 318)    (2, 318)    (2, 318)    (2, 542)    (2, 542)    (2, 542)    (2, 552)    (2, 552)    (2, 552)
0025_C207.txt    [2110: (1, 336)]    (1, 336)    (1, 336)    (1, 336)    (1, 375)    (1, 375)    (1, 375)    (2, 577)    (2, 577)    (2, 577)    (2, 590)    (2, 590)    (2, 590)
0025_C208.txt    [2120: (1, 277)]    (1, 277)    (1, 277)    (1, 277)    (1, 277)    (1, 277)    (1, 277)    (2, 561)    (2, 561)    (2, 561)    (2, 646)    (2, 646)    (2, 646)
